OrderID,Date,Customer,Product,Category,Quantity,Price
1008,21-09-2023,Rahul Mehta,Laptop,Electronics,2,45999
1012,23-11-2023,Vikas Patel,Printer,Electronics,2,8999
1013,07-02-2023,Neha Verma,Laptop,Electronics,5,45999
1014,28-11-2023,Amit Sharma,Headphones,Electronics,5,1299
1018,18-02-2023,Priya Singh,Headphones,Electronics,3,1299
1019,18-04-2023,Vikas Patel,Laptop,Electronics,3,45999
1022,11-05-2023,Anjali Sharma,Laptop,Electronics,4,45999
1024,06-08-2023,Sneha Jain,Mouse,Electronics,3,499
1026,19-05-2023,Neha Verma,Mouse,Electronics,5,499
1030,21-07-2023,Vikas Patel,Smartphone,Electronics,1,15999
1031,30-09-2023,Sneha Jain,Mouse,Electronics,3,499
1033,06-06-2023,Rohit Gupta,Laptop,Electronics,3,45999
1037,09-02-2023,Rahul Mehta,Printer,Electronics,2,8999
1039,26-04-2023,Rahul Mehta,Printer,Electronics,4,8999
1040,04-09-2023,Anjali Sharma,Smartphone,Electronics,1,15999
1041,23-12-2023,Pooja Sharma,Mouse,Electronics,3,499
1042,24-11-2023,Rahul Mehta,Laptop,Electronics,3,45999
1043,09-10-2023,Karan Singh,Smartphone,Electronics,4,15999
1045,15-12-2023,Karan Singh,Printer,Electronics,1,8999
1047,28-07-2023,Rahul Mehta,Laptop,Electronics,4,45999
1049,07-10-2023,Karan Singh,Headphones,Electronics,4,1299
1050,10-11-2023,Sneha Jain,Headphones,Electronics,1,1299
1051,28-12-2023,Sneha Jain,Smartphone,Electronics,1,15999
1052,15-01-2023,Anjali Sharma,Printer,Electronics,4,8999
1054,24-07-2023,Sneha Jain,Printer,Electronics,2,8999
1056,27-06-2023,Pooja Sharma,Laptop,Electronics,4,45999
1057,02-05-2023,Priya Singh,Mouse,Electronics,1,499
1058,12-12-2023,Vikas Patel,Printer,Electronics,5,8999
1060,27-06-2023,Rahul Mehta,Smartphone,Electronics,5,15999
1068,20-03-2023,Rohit Gupta,Headphones,Electronics,5,1299
1069,16-10-2023,Pooja Sharma,Headphones,Electronics,3,1299
1073,28-03-2023,Karan Singh,Printer,Electronics,4,8999
1074,22-12-2023,Rohit Gupta,Laptop,Electronics,1,45999
1075,19-04-2023,Anjali Sharma,Headphones,Electronics,4,1299
1076,13-08-2023,Rahul Mehta,Headphones,Electronics,3,1299
1078,23-01-2023,Karan Singh,Headphones,Electronics,2,1299
1079,11-11-2023,Pooja Sharma,Headphones,Electronics,4,1299
1081,12-03-2023,Sneha Jain,Headphones,Electronics,5,1299
1082,28-10-2023,Pooja Sharma,Mouse,Electronics,3,499
1084,12-04-2023,Amit Sharma,Printer,Electronics,1,8999
1091,03-11-2023,Pooja Sharma,Headphones,Electronics,2,1299
1093,19-08-2023,Pooja Sharma,Printer,Electronics,3,8999
1094,21-06-2023,Priya Singh,Headphones,Electronics,4,1299
1095,15-12-2023,Priya Singh,Mouse,Electronics,2,499
1096,05-02-2023,Priya Singh,Mouse,Electronics,5,499
1098,18-07-2023,Anjali Sharma,Laptop,Electronics,3,45999
1100,03-01-2023,Anjali Sharma,Laptop,Electronics,1,45999
1101,23-12-2023,Anjali Sharma,Headphones,Electronics,5,1299
1102,21-12-2023,Vikas Patel,Mouse,Electronics,1,499
1106,09-06-2023,Vikas Patel,Headphones,Electronics,2,1299
1107,05-06-2023,Neha Verma,Smartphone,Electronics,2,15999
1108,20-07-2023,Karan Singh,Laptop,Electronics,2,45999
1110,21-11-2023,Sneha Jain,Printer,Electronics,5,8999
1113,13-12-2023,Anjali Sharma,Mouse,Electronics,5,499
1118,06-07-2023,Sneha Jain,Mouse,Electronics,1,499
1121,19-09-2023,Karan Singh,Mouse,Electronics,4,499
1124,17-05-2023,Amit Sharma,Laptop,Electronics,5,45999
1126,01-05-2023,Rohit Gupta,Laptop,Electronics,3,45999
1127,08-01-2023,Neha Verma,Headphones,Electronics,5,1299
1128,25-02-2023,Pooja Sharma,Laptop,Electronics,5,45999
1129,09-01-2023,Rohit Gupta,Laptop,Electronics,3,45999
1130,12-05-2023,Amit Sharma,Printer,Electronics,2,8999
1133,27-03-2023,Amit Sharma,Printer,Electronics,1,8999
1135,07-10-2023,Rahul Mehta,Mouse,Electronics,3,499
1136,02-05-2023,Vikas Patel,Printer,Electronics,5,8999
1138,15-09-2023,Rahul Mehta,Laptop,Electronics,4,45999
1140,24-07-2023,Pooja Sharma,Printer,Electronics,3,8999
1141,10-04-2023,Pooja Sharma,Headphones,Electronics,3,1299
