OrderID,Date,Customer,Product,Category,Quantity,Price
1001,28-05-2023,Rohit Gupta,Marker,Stationery,4,35
1002,07-08-2023,Neha Verma,Marker,Stationery,2,35
1003,07-04-2023,Karan Singh,Chair,Furniture,3,1999
1004,16-02-2023,Karan Singh,Chair,Furniture,3,1999
1005,11-08-2023,Rahul Mehta,Chair,Furniture,1,1999
1006,03-09-2023,Vikas Patel,Marker,Stationery,4,35
1007,31-12-2023,Rahul Mehta,Desk,Furniture,4,3499
1008,21-09-2023,Rahul Mehta,Laptop,Electronics,2,45999
1009,27-08-2023,Rohit Gupta,Notebook,Stationery,3,99
1010,04-04-2023,Amit Sharma,Desk,Furniture,3,3499
1011,05-02-2023,Priya Singh,Laptop,,2,45999
1012,23-11-2023,Vikas Patel,Printer,Electronics,2,8999
1013,07-02-2023,Neha Verma,Laptop,Electronics,5,45999
1014,28-11-2023,Amit Sharma,Headphones,Electronics,5,1299
1015,06-05-2023,Rohit Gupta,Marker,Stationery,3,35
1016,05-03-2023,Sneha Jain,Marker,Stationery,2,35
1017,25-07-2023,Rohit Gupta,Notebook,Stationery,1,99
1018,18-02-2023,Priya Singh,Headphones,Electronics,3,1299
1019,18-04-2023,Vikas Patel,Laptop,Electronics,3,45999
1020,04-01-2023,Vikas Patel,Marker,Stationery,2,35
1021,22-07-2023,Rahul Mehta,Marker,Stationery,3,35
1022,11-05-2023,Anjali Sharma,Laptop,Electronics,4,45999
1023,24-05-2023,Amit Sharma,Chair,Furniture,4,1999
1024,06-08-2023,Sneha Jain,Mouse,Electronics,3,499
1025,14-01-2023,Karan Singh,Desk,Furniture,5,3499
1026,19-05-2023,Neha Verma,Mouse,Electronics,5,499
1027,25-07-2023,Rahul Mehta,Pen,Stationery,1,20
1028,06-03-2023,Pooja Sharma,Notebook,Stationery,5,99
1029,14-06-2023,Priya Singh,Desk,Furniture,2,3499
1030,21-07-2023,Vikas Patel,Smartphone,Electronics,1,15999
1031,30-09-2023,Sneha Jain,Mouse,Electronics,3,499
1032,04-04-2023,Sneha Jain,Pen,Stationery,4,20
1033,06-06-2023,Rohit Gupta,Laptop,Electronics,3,45999
1034,12-06-2023,Pooja Sharma,Pen,Stationery,4,20
1035,01-09-2023,Karan Singh,Notebook,Stationery,5,99
1036,23-07-2023,Karan Singh,Desk,Furniture,2,3499
1037,09-02-2023,Rahul Mehta,Printer,Electronics,2,8999
1038,03-09-2023,Anjali Sharma,Desk,Furniture,3,3499
1039,26-04-2023,Rahul Mehta,Printer,Electronics,4,8999
1040,04-09-2023,Anjali Sharma,Smartphone,Electronics,1,15999
1041,23-12-2023,Pooja Sharma,Mouse,Electronics,3,499
1042,24-11-2023,Rahul Mehta,Laptop,Electronics,3,45999
1043,09-10-2023,Karan Singh,Smartphone,Electronics,4,15999
1044,22-06-2023,Priya Singh,Notebook,Stationery,4,99
1045,15-12-2023,Karan Singh,Printer,Electronics,1,8999
1046,19-02-2023,Karan Singh,Marker,Stationery,4,35
1047,28-07-2023,Rahul Mehta,Laptop,Electronics,4,45999
1048,21-08-2023,Sneha Jain,Notebook,Stationery,1,99
1049,07-10-2023,Karan Singh,Headphones,Electronics,4,1299
1050,10-11-2023,Sneha Jain,Headphones,Electronics,1,1299
1051,28-12-2023,Sneha Jain,Smartphone,Electronics,1,15999
1052,15-01-2023,Anjali Sharma,Printer,Electronics,4,8999
1053,09-08-2023,Sneha Jain,Pen,Stationery,1,20
1054,24-07-2023,Sneha Jain,Printer,Electronics,2,8999
1055,21-11-2023,Anjali Sharma,Notebook,Stationery,5,99
1056,27-06-2023,Pooja Sharma,Laptop,Electronics,4,45999
1057,02-05-2023,Priya Singh,Mouse,Electronics,1,499
1058,12-12-2023,Vikas Patel,Printer,Electronics,5,8999
1059,10-11-2023,Karan Singh,Pen,Stationery,5,20
1060,27-06-2023,Rahul Mehta,Smartphone,Electronics,5,15999
1061,12-06-2023,Neha Verma,Notebook,Stationery,3,99
1062,02-01-2023,Priya Singh,Marker,Stationery,3,35
1063,12-04-2023,Anjali Sharma,Marker,Stationery,4,35
1064,27-07-2023,Sneha Jain,Pen,Stationery,2,20
1065,13-10-2023,Rahul Mehta,Pen,Stationery,2,20
1066,03-12-2023,Anjali Sharma,Marker,Stationery,5,35
1067,03-09-2023,Karan Singh,Desk,Furniture,2,3499
1068,20-03-2023,Rohit Gupta,Headphones,Electronics,5,1299
1069,16-10-2023,Pooja Sharma,Headphones,Electronics,3,1299
1070,01-08-2023,Anjali Sharma,Chair,Furniture,1,1999
1071,09-05-2023,Vikas Patel,Desk,Furniture,1,3499
1072,15-12-2023,Karan Singh,Marker,Stationery,5,35
1073,28-03-2023,Karan Singh,Printer,Electronics,4,8999
1074,22-12-2023,Rohit Gupta,Laptop,Electronics,1,45999
1075,19-04-2023,Anjali Sharma,Headphones,Electronics,4,1299
1076,13-08-2023,Rahul Mehta,Headphones,Electronics,3,1299
1077,04-03-2023,Sneha Jain,Pen,Stationery,4,20
1078,23-01-2023,Karan Singh,Headphones,Electronics,2,1299
1079,11-11-2023,Pooja Sharma,Headphones,Electronics,4,1299
1080,17-12-2023,Karan Singh,Marker,Stationery,5,35
1081,12-03-2023,Sneha Jain,Headphones,Electronics,5,1299
1082,28-10-2023,Pooja Sharma,Mouse,Electronics,3,499
1083,18-02-2023,Neha Verma,Pen,Stationery,3,20
1084,12-04-2023,Amit Sharma,Printer,Electronics,1,8999
1085,18-06-2023,Neha Verma,Notebook,Stationery,2,99
1086,17-01-2023,Karan Singh,Marker,Stationery,1,35
1087,08-05-2023,Neha Verma,Desk,Furniture,1,3499
1088,26-11-2023,Sneha Jain,Chair,Furniture,4,1999
1089,25-10-2023,Rahul Mehta,Desk,Furniture,5,3499
1090,13-09-2023,Karan Singh,Desk,Furniture,5,3499
1091,03-11-2023,Pooja Sharma,Headphones,Electronics,2,1299
1092,10-05-2023,Rohit Gupta,Chair,Furniture,5,1999
1093,19-08-2023,Pooja Sharma,Printer,Electronics,3,8999
1094,21-06-2023,Priya Singh,Headphones,Electronics,4,1299
1095,15-12-2023,Priya Singh,Mouse,Electronics,2,499
1096,05-02-2023,Priya Singh,Mouse,Electronics,5,499
1097,16-09-2023,Anjali Sharma,Pen,Stationery,5,20
1098,18-07-2023,Anjali Sharma,Laptop,Electronics,3,45999
1099,22-06-2023,Neha Verma,Chair,Furniture,2,1999
1100,03-01-2023,Anjali Sharma,Laptop,Electronics,1,45999
1101,23-12-2023,Anjali Sharma,Headphones,Electronics,5,1299
1102,21-12-2023,Vikas Patel,Mouse,Electronics,1,499
1103,25-04-2023,Rohit Gupta,Marker,Stationery,4,35
